Income,Credit Score,Age,Loan Amount,Employment Years,Loan Approved
56569.88,586,38,20434.45,8.6,No
97151.77,650,26,60141.56,8.2,Yes
40644.99,596,36,10862.05,15.8,Yes
45316.01,721,48,2000.0,9.7,Yes
79153.19,655,24,28625.17,0.2,No
56318.69,850,35,14748.32,1.3,Yes
64887.32,560,48,8233.4,16.7,Yes
61404.26,705,33,20892.81,9.6,Yes
72426.64,605,32,15559.36,6.0,Yes
95964.6,653,49,20592.24,14.0,Yes
66992.87,701,34,22576.92,6.7,Yes
79166.65,516,49,15470.42,18.4,Yes
19896.21,708,42,14573.36,13.9,Yes
63928.2,833,34,33220.08,9.0,Yes
46448.93,656,42,2015.16,7.2,Yes
38186.11,709,41,12322.4,10.9,Yes
45680.65,767,48,31514.54,27.2,Yes
57649.28,678,32,17132.95,8.9,No
85149.86,646,38,16784.96,0.0,Yes
35819.36,519,37,11220.03,5.5,Yes
65673.89,738,45,31893.65,10.2,Yes
54348.27,682,27,24492.21,7.7,Yes
57791.19,614,48,8781.05,16.3,No
87060.67,699,42,14324.19,12.3,Yes
76838.54,646,24,18999.09,1.3,Yes
94422.76,650,50,48538.5,12.3,Yes
61600.88,735,60,24881.67,23.5,Yes
49689.26,590,48,7981.74,13.5,Yes
60075.11,769,52,13410.58,17.3,Yes
70334.93,585,38,41751.4,1.2,Yes
68884.61,640,21,26225.14,0.0,Yes
41143.46,834,21,15848.87,2.5,Yes
66990.78,775,40,3560.05,11.5,Yes
70021.02,697,32,26056.78,7.2,Yes
120384.43,619,28,29138.18,3.2,Yes
106290.58,650,37,38060.27,14.8,Yes
46228.65,695,44,21580.06,15.4,Yes
58677.57,693,23,29050.84,0.5,Yes
32804.28,683,33,9156.56,11.1,Yes
52004.45,688,53,27473.45,6.1,Yes
71943.31,674,27,50446.43,1.0,Yes
91528.78,582,46,30377.94,7.0,Yes
48960.16,651,33,2000.0,3.8,Yes
50608.78,759,43,12961.15,19.2,Yes
17759.64,587,48,9798.87,15.0,No
61421.35,676,45,5072.8,8.1,Yes
41626.88,629,47,31045.01,13.5,Yes
53352.33,698,26,15903.99,6.2,No
45709.06,661,49,9803.11,10.0,Yes
62926.22,801,29,38406.34,3.0,Yes
26329.98,728,40,8567.81,11.7,Yes
32725.0,592,40,20397.96,6.1,Yes
111843.44,740,42,48974.15,10.9,Yes
36676.7,632,41,2587.71,10.9,Yes
40870.72,647,29,16233.64,3.6,Yes
105412.1,714,24,44612.75,4.8,Yes
128911.48,653,46,49867.36,6.6,Yes
39225.53,757,39,8585.69,3.9,Yes
56898.52,632,49,13389.6,26.0,Yes
72514.22,644,37,37077.16,10.9,Yes
103031.35,641,23,25302.13,1.8,Yes
43289.14,648,47,19664.95,8.8,Yes
59603.89,772,34,20641.61,4.7,Yes
82101.43,737,41,31376.5,11.0,Yes
74564.85,818,31,22257.47,6.2,Yes
56724.57,850,54,32882.96,15.9,Yes
62055.89,613,29,2000.0,4.0,Yes
34752.29,695,34,12115.42,12.1,Yes
59760.18,602,39,19810.75,5.0,Yes
59139.48,632,27,34665.9,2.6,No
70107.74,643,41,37921.83,9.8,Yes
52782.8,611,54,22817.95,17.1,Yes
75373.85,611,33,16199.78,6.8,Yes
87279.75,679,41,20005.94,10.1,Yes
68419.45,599,21,34418.57,2.2,Yes
72738.64,753,37,54596.27,9.0,Yes
66169.42,621,34,35345.05,7.5,Yes
65001.86,850,29,33119.96,4.5,Yes
49125.72,656,48,2000.0,17.9,Yes
71962.87,695,34,49921.22,4.7,Yes
62859.69,593,36,2000.0,14.4,Yes
111049.7,818,34,44517.4,5.9,Yes
99613.81,774,21,30438.72,0.0,Yes
73488.62,712,26,32231.78,1.3,Yes
48212.74,589,47,26021.88,12.5,Yes
40526.95,706,21,30927.78,0.0,Yes
91205.14,606,30,8131.32,2.8,Yes
70780.48,800,34,31526.28,12.8,Yes
75563.15,751,55,13654.11,25.7,Yes
26619.11,697,45,13564.05,6.4,Yes
85403.65,507,32,39849.7,10.4,Yes
74997.25,616,51,15627.6,18.5,Yes
40570.52,742,30,12446.29,10.8,Yes
54626.45,781,48,8122.61,8.3,Yes
70801.78,773,24,15962.88,0.0,Yes
66154.27,571,48,20355.58,18.4,Yes
58572.23,713,33,13750.75,5.5,Yes
62723.26,766,27,7826.08,3.3,Yes
59456.5,566,35,3945.46,9.3,Yes
68356.38,689,40,8712.72,9.8,Yes
97372.82,711,33,31596.34,5.2,Yes
15000.0,667,43,2000.0,17.8,Yes
59789.29,551,32,21043.77,10.3,No
68883.27,666,44,31975.95,9.7,Yes
71511.87,665,42,42008.3,8.9,Yes
56817.88,679,37,5423.91,2.9,Yes
26352.12,648,33,10090.71,6.9,Yes
72215.9,657,39,41048.56,10.8,Yes
103001.7,687,43,39348.1,14.2,Yes
31255.05,723,58,13787.48,28.0,Yes
84004.22,667,47,45224.83,6.8,Yes
57772.45,659,47,26485.59,17.3,No
63650.86,697,65,20443.08,13.9,Yes
41836.23,546,43,27736.65,8.2,Yes
57641.96,726,42,2000.0,13.9,Yes
93600.98,690,45,55082.39,11.4,Yes
77818.42,693,27,34472.98,4.4,Yes
103110.86,762,33,26294.01,6.3,Yes
90903.06,544,32,20233.6,3.1,Yes
74659.91,542,44,11441.52,17.4,Yes
103366.56,711,36,69474.7,17.5,Yes
74657.85,689,39,39912.42,14.1,Yes
83215.74,703,48,30107.75,13.1,Yes
58475.44,655,46,21892.59,14.0,Yes
66464.01,740,36,35669.73,9.3,Yes
49656.68,760,31,15177.39,6.6,Yes
86770.85,726,49,36919.78,16.4,Yes
39077.32,670,45,4174.4,14.2,Yes
82211.71,532,21,42840.63,6.4,Yes
60805.68,748,34,16305.92,6.5,Yes
90767.44,782,39,2000.0,6.9,Yes
81519.12,738,45,28940.02,17.0,Yes
105054.22,624,47,24752.82,7.8,Yes
81077.04,741,40,30492.47,16.5,Yes
30415.11,755,43,15185.98,11.4,Yes
63527.03,807,38,20114.67,12.5,Yes
39215.84,624,31,40455.62,1.9,Yes
53597.84,673,35,15709.71,7.4,Yes
98247.03,746,38,40750.88,9.5,Yes
79025.74,694,37,43268.34,7.8,Yes
49623.53,606,21,7455.35,0.0,Yes
42698.22,721,34,12977.94,5.3,Yes
65721.21,733,38,35567.9,1.5,Yes
38235.68,697,35,20034.31,7.6,Yes
50234.91,706,35,22746.66,4.2,Yes
71864.21,671,42,38587.92,15.2,Yes
90416.86,801,27,17077.66,3.6,Yes
78392.75,622,21,53793.68,3.9,Yes
15000.0,646,34,7176.44,7.7,Yes
71696.07,691,45,23810.67,14.0,Yes
66584.74,756,54,21887.74,21.1,Yes
74105.59,578,45,27477.22,17.9,Yes
100556.61,592,23,47483.5,6.6,No
19608.76,537,35,2000.0,1.0,Yes
51995.72,692,40,32021.91,12.3,Yes
77999.94,606,39,2000.0,10.2,Yes
30204.92,661,43,19838.63,14.8,Yes
97470.88,740,28,19305.59,4.1,No
73103.85,642,38,25234.5,9.7,Yes
83624.85,707,42,11079.2,16.3,Yes
52439.24,668,46,36372.14,11.3,No
82902.8,740,29,32182.36,8.1,Yes
88506.37,726,34,43270.34,13.7,Yes
70123.32,638,21,19372.62,0.0,Yes
70156.82,677,31,2000.0,2.1,Yes
70947.55,768,32,21845.88,3.7,Yes
46006.4,720,27,12069.94,4.8,Yes
61754.37,585,39,26376.26,3.6,Yes
61644.5,739,37,31496.75,3.5,Yes
73434.67,609,21,46815.82,0.3,Yes
86996.13,796,40,27629.37,7.1,Yes
41712.21,767,28,28942.48,2.6,Yes
62249.8,712,42,28063.94,19.5,Yes
97592.02,702,25,35874.35,2.2,Yes
48641.06,674,38,17357.76,3.9,Yes
46910.5,741,35,5152.02,8.7,Yes
69450.74,662,41,11333.28,16.1,Yes
83576.47,708,39,41011.15,14.4,Yes
65251.37,755,35,29027.56,7.4,Yes
94237.13,648,22,25052.35,0.0,Yes
83849.47,644,23,31939.49,0.0,No
83520.04,600,32,7411.82,4.1,Yes
77190.56,610,37,19628.79,8.2,Yes
116208.37,553,31,60369.73,8.9,Yes
60486.44,745,44,11091.82,5.4,Yes
20922.51,826,35,3045.46,9.2,Yes
100293.6,797,28,41357.29,2.5,Yes
54930.61,568,35,18280.91,5.5,Yes
67373.37,744,40,27428.06,6.4,Yes
93810.12,797,41,50009.43,14.2,Yes
29750.29,656,56,17106.63,10.7,Yes
37463.76,698,31,2000.0,5.6,No
29771.89,539,37,15165.21,8.0,Yes
47529.0,710,42,3592.8,6.2,Yes
74672.01,610,37,9082.94,11.6,Yes
76532.13,705,32,5109.85,9.0,Yes
71078.03,573,22,55439.35,0.5,No
33919.15,731,32,24481.51,7.6,Yes
15000.0,767,27,10994.94,0.3,Yes
66195.78,631,21,13448.99,5.2,Yes
54620.93,605,30,13603.7,3.3,Yes
75106.49,528,27,16407.68,6.7,Yes
80442.98,670,43,21114.55,13.1,Yes
68041.31,646,44,29074.53,10.8,Yes
81722.93,574,28,29002.63,6.4,Yes
70042.65,724,35,35942.02,12.8,Yes
76661.42,656,21,23856.01,0.0,Yes
49497.19,609,33,7444.99,6.0,Yes
61048.55,648,41,36584.5,14.9,No
69329.07,770,46,19576.73,17.2,Yes
83051.63,735,30,34282.87,5.9,Yes
56337.69,680,48,19831.21,16.8,Yes
76465.68,736,22,27814.15,0.0,Yes
59151.55,603,25,34217.47,5.8,No
62414.07,692,45,26853.65,11.1,Yes
83249.42,701,54,42104.69,9.9,Yes
21152.67,655,42,4750.5,18.4,Yes
36477.61,723,37,13246.14,7.5,Yes
32391.92,631,21,2480.72,5.3,No
15000.0,728,21,6966.07,0.0,Yes
50078.18,731,39,24983.93,10.1,Yes
81487.55,471,34,30168.27,6.3,No
58732.55,779,26,26336.4,2.9,Yes
69351.38,461,38,29756.75,9.2,Yes
88962.78,644,39,39893.98,15.3,Yes
94209.09,767,47,54950.33,21.0,Yes
63478.97,666,39,4174.38,11.2,Yes
94778.89,580,50,13679.63,17.3,Yes
67026.79,608,38,18768.17,8.2,Yes
46577.24,767,36,2000.0,9.5,Yes
51923.19,546,48,33764.97,9.0,Yes
32428.2,775,28,6451.01,5.5,Yes
45461.06,686,65,14255.67,16.9,Yes
57123.63,601,41,8531.68,8.8,Yes
82678.87,646,41,51418.14,11.5,Yes
102856.94,614,43,55657.56,4.8,Yes
34592.01,755,56,2000.0,20.8,Yes
73642.2,745,45,2000.0,14.7,Yes
42108.03,561,21,16029.32,0.0,Yes
75443.34,660,52,55177.41,25.4,Yes
62116.09,625,34,31489.32,4.7,Yes
24720.07,787,39,15695.64,18.8,Yes
85422.53,589,25,41410.98,2.2,Yes
51689.98,810,43,6595.14,11.6,Yes
53254.19,688,31,19067.5,0.2,Yes
41465.45,603,39,8929.07,5.3,Yes
50605.77,639,35,32978.26,8.6,No
74413.59,630,57,45668.22,17.0,Yes
60836.62,594,57,6937.42,28.2,Yes
72230.56,697,38,23316.55,6.7,Yes
72962.28,598,38,28179.32,9.3,Yes
94054.56,526,34,28607.14,4.0,Yes
57458.7,662,49,15645.06,25.6,Yes
32509.13,555,34,12348.26,3.9,Yes
88478.89,634,33,54859.0,5.4,Yes
57707.26,622,47,9029.95,12.4,Yes
89521.03,625,32,54831.6,1.9,Yes
73434.3,840,37,17291.34,16.2,Yes
62114.97,694,22,25337.09,0.6,No
72673.07,708,45,18942.0,11.4,Yes
107922.28,557,57,64292.18,20.1,Yes
110693.57,641,45,23323.26,10.7,Yes
66526.38,706,52,11254.84,6.2,Yes
68524.19,613,29,54279.52,6.2,Yes
88677.28,758,40,29219.18,6.2,Yes
46395.46,600,28,28806.21,7.7,Yes
72327.55,669,35,2685.0,4.5,Yes
64431.02,646,45,16821.03,19.2,Yes
71905.98,702,39,58166.29,11.6,Yes
46665.89,642,23,11359.95,0.0,No
30029.52,670,24,6492.7,1.9,Yes
19394.36,672,24,4941.99,1.1,Yes
40417.55,635,42,3119.84,15.3,Yes
54909.14,726,58,38609.32,18.2,Yes
58549.79,708,51,23202.5,10.9,Yes
107619.09,683,21,24699.91,3.1,Yes
89331.85,658,52,40294.52,16.5,Yes
43834.0,750,47,3058.68,19.6,Yes
72649.59,672,22,18511.02,0.9,Yes
56044.28,667,34,4860.8,6.5,Yes
58744.0,698,48,39649.75,13.0,Yes
69077.16,817,43,8526.92,11.0,Yes
78621.76,589,24,22974.05,2.6,Yes
57536.31,748,44,29835.49,10.4,Yes
88404.73,548,21,14208.25,2.7,Yes
39877.36,706,35,10712.03,9.0,Yes
65139.46,808,49,35272.88,11.4,Yes
122148.82,727,38,31233.33,15.3,Yes
69907.75,703,33,30258.02,6.4,Yes
96530.72,648,46,38118.05,21.1,Yes
67013.44,692,47,27881.18,12.8,Yes
77777.1,671,51,37288.89,24.5,Yes
63750.77,631,46,28662.56,14.9,Yes
61251.03,668,48,28272.24,17.5,Yes
47851.39,705,45,22858.92,16.9,Yes
74466.63,632,40,24164.22,7.5,Yes
46266.18,630,38,5519.38,11.6,Yes
79642.88,588,35,46873.75,13.9,Yes
88876.31,719,25,6476.9,3.1,Yes
73063.69,731,28,35694.7,3.8,Yes
58702.53,707,35,6878.69,9.7,Yes
74987.24,762,40,8784.93,14.1,Yes
58209.19,697,52,7234.4,22.1,Yes
85582.04,719,37,14146.7,9.7,Yes
24709.07,713,48,3660.01,12.2,Yes
57616.64,683,48,15809.3,6.2,Yes
21202.14,650,35,14047.63,10.9,Yes
32108.66,850,43,2000.0,19.6,Yes
95004.97,656,35,13663.51,9.7,Yes
84694.07,640,51,40613.6,9.8,Yes
49171.43,723,44,16031.77,11.6,Yes
31944.92,709,26,13415.8,3.0,Yes
15000.0,585,39,4750.52,10.4,No
53043.1,774,54,9518.73,13.3,Yes
118249.13,683,36,55317.36,9.6,Yes
74567.45,607,42,21052.18,21.2,Yes
52689.41,779,43,41401.63,21.5,Yes
75231.76,737,27,44737.96,3.7,Yes
30658.92,595,43,2000.0,18.4,Yes
58458.89,823,24,9267.76,2.2,Yes
67188.5,739,31,12579.43,4.6,Yes
63105.79,689,48,12345.08,3.3,Yes
82397.73,809,41,35441.6,8.9,Yes
72582.19,702,34,14510.19,8.0,Yes
79703.17,688,42,34720.1,3.9,No
49855.81,640,37,25112.54,6.8,Yes
84751.94,734,38,47984.6,9.3,Yes
100836.61,726,44,50777.61,12.8,Yes
43656.71,691,30,22312.27,0.8,Yes
45470.7,631,38,14656.72,7.9,Yes
94387.26,700,34,26334.64,9.2,Yes
60790.43,685,22,48485.78,2.5,Yes
95884.07,590,28,46497.53,4.5,No
55264.21,580,53,24441.86,13.6,Yes
97011.0,732,41,37786.67,7.0,Yes
67892.69,495,24,24530.02,0.0,Yes
70681.03,705,22,27321.12,0.0,Yes
99423.8,654,36,56488.41,14.1,Yes
57041.05,788,53,21007.78,16.6,Yes
44295.31,653,36,5536.97,1.5,No
55131.59,739,51,10969.4,8.1,Yes
74951.35,660,41,4949.69,8.0,Yes
30553.3,699,42,19972.89,10.9,Yes
79024.36,745,24,20505.34,1.8,No
53147.03,655,47,8592.8,17.5,Yes
90251.88,765,34,37193.1,6.9,Yes
15000.0,615,46,3109.81,25.8,Yes
47695.55,712,29,12138.53,6.7,Yes
27897.7,759,39,2000.0,17.1,Yes
46822.95,740,41,16535.43,22.8,Yes
70448.65,834,36,56154.94,10.0,Yes
61057.01,633,42,33141.14,16.9,Yes
59425.69,587,35,29260.48,8.3,Yes
61497.93,615,31,5850.55,5.1,Yes
69474.54,740,54,38828.99,10.3,Yes
42812.21,727,48,24753.34,12.8,Yes
80550.69,698,30,26386.06,4.4,Yes
79578.65,606,43,37653.66,4.7,Yes
73470.83,748,30,8693.99,0.6,Yes
77243.74,598,26,18210.69,3.3,Yes
71521.2,777,48,18502.95,16.0,Yes
109771.61,850,21,4981.42,0.0,Yes
63083.93,717,47,43104.23,7.6,Yes
58244.17,734,35,14120.07,9.0,Yes
48422.39,653,35,4972.88,9.2,Yes
42290.22,554,42,12045.69,7.9,Yes
37621.62,645,43,2000.0,11.5,Yes
45446.46,608,29,19677.36,7.8,Yes
63445.03,581,45,15827.07,18.4,Yes
72354.49,819,39,45628.21,11.1,Yes
66125.13,710,25,47005.69,4.3,Yes
48158.22,718,36,7201.74,5.4,Yes
84804.06,667,51,33630.76,16.2,Yes
81267.08,677,54,29760.81,24.7,Yes
61487.74,762,45,15527.55,16.0,Yes
50635.84,688,26,26445.06,6.9,Yes
77065.41,730,42,11492.86,0.0,Yes
69135.42,675,46,44035.06,8.1,Yes
33141.2,664,45,10827.46,5.9,Yes
63504.43,584,45,18815.41,11.6,Yes
70764.79,542,41,35810.93,9.0,Yes
45206.71,670,37,21016.47,5.2,Yes
69176.55,694,31,36814.0,9.2,Yes
32993.91,594,21,2000.0,0.0,Yes
94396.09,687,41,66032.89,6.8,Yes
92454.9,694,39,20643.99,3.9,Yes
59444.62,528,43,7414.08,13.6,Yes
72996.0,621,24,10583.44,0.0,Yes
15000.0,721,44,8047.7,19.3,Yes
39560.35,719,58,23582.77,11.5,Yes
58536.86,603,38,26243.42,12.3,Yes
41413.07,702,37,6336.08,11.5,Yes
80716.72,767,41,13174.75,11.8,Yes
108940.52,748,58,58426.99,22.7,Yes
39114.48,683,27,19811.53,8.2,Yes
46575.81,655,40,30682.75,0.0,Yes
70179.86,643,30,10286.41,3.5,Yes
100444.56,725,32,64261.14,8.6,Yes
38107.77,705,37,13453.74,10.6,Yes
70478.79,737,51,27036.24,14.8,Yes
105068.57,700,56,33000.75,15.7,Yes
28661.3,751,42,2000.0,13.1,Yes
36816.48,697,34,23208.93,7.6,Yes
55680.65,749,62,20926.57,18.2,Yes
53547.05,755,33,7573.63,3.6,Yes
82877.23,630,32,31343.81,2.7,Yes
70316.51,554,21,12698.13,0.0,No
25950.83,806,51,17917.98,10.5,Yes
76339.03,709,47,10903.09,2.5,Yes
52294.14,561,62,21245.31,12.7,Yes
93037.84,636,24,32318.77,1.3,Yes
51193.07,748,52,19073.4,12.3,Yes
50994.46,669,38,3385.07,6.5,Yes
76904.9,652,46,31175.0,15.9,Yes
81784.38,795,21,42534.3,0.0,Yes
74858.19,611,52,28634.36,24.7,Yes
27916.86,630,45,2000.0,16.0,Yes
76836.76,706,37,45385.06,6.1,Yes
42245.22,719,44,18337.97,15.1,Yes
70176.07,727,30,20828.99,8.0,Yes
33677.84,758,32,6668.17,0.1,Yes
74819.09,705,33,18436.06,4.0,Yes
47254.82,727,21,12357.09,0.0,Yes
36782.04,671,46,28168.44,9.2,Yes
80704.04,695,49,67700.45,12.0,Yes
70316.18,698,30,27188.46,0.0,Yes
51492.51,706,41,26693.27,7.5,Yes
96925.93,748,35,59798.69,2.7,Yes
55305.65,732,41,6345.16,9.2,No
65706.37,693,31,29818.82,3.7,Yes
70916.1,629,29,17079.87,3.1,Yes
51367.35,695,48,2000.0,9.5,Yes
75365.0,688,37,15707.92,5.4,Yes
53264.05,704,58,29854.73,29.1,Yes
55943.96,850,38,36382.16,14.3,Yes
94978.14,651,28,23609.52,1.8,Yes
42107.11,722,50,2522.84,14.4,Yes
15000.0,770,44,2777.09,16.5,Yes
100440.61,697,45,31363.93,19.3,Yes
121085.21,850,49,58645.24,12.1,Yes
56084.08,662,31,20467.42,6.2,Yes
22389.56,714,36,5785.98,6.2,Yes
58169.35,630,36,30923.51,7.5,Yes
58703.1,664,25,2392.68,0.7,No
60821.68,709,35,20078.18,5.6,Yes
